t,H=0.1,H=0.2,H=0.3,H=0.4
1.720000000000000140e-01,9.772026965746771765e-01,8.657650874021776133e-01,9.674895067642326207e-01,1.027580906066187794e+00
1.730000000000000149e-01,9.113708738512628083e-01,8.355253905783884827e-01,9.735131626310042918e-01,1.027106698231577964e+00
1.740000000000000158e-01,9.763453925844484127e-01,8.698446236040549007e-01,9.708507866167426226e-01,1.029059563074933514e+00
1.750000000000000167e-01,9.001039360836786685e-01,8.277234353704384651e-01,9.820804767482747000e-01,1.026457073623230354e+00
1.759999999999999898e-01,9.642361046894665222e-01,8.329467165802588724e-01,9.915617636695452930e-01,1.022798405507277630e+00
1.769999999999999907e-01,1.020448920651428670e+00,8.500723758573203170e-01,1.004265536605957632e+00,1.031663180895370679e+00
1.779999999999999916e-01,1.055104398468979188e+00,8.736312408895158255e-01,1.010429150491706451e+00,1.030516256048667811e+00
1.789999999999999925e-01,9.569927508404739713e-01,8.576200578226512716e-01,1.001355085513323750e+00,1.038153990648112313e+00
1.799999999999999933e-01,9.754564834942890394e-01,8.564299519183808940e-01,9.839627455824692115e-01,1.040355028988753983e+00
1.809999999999999942e-01,9.951045764939215887e-01,8.542227977417521378e-01,1.000756508704089276e+00,1.036378635799563908e+00
1.819999999999999951e-01,1.012291836918599586e+00,8.684404741869470312e-01,1.016090625241541812e+00,1.032712293265399373e+00
1.829999999999999960e-01,9.671510459737402421e-01,8.257535361092349646e-01,9.975214957725363485e-01,1.026309998059132589e+00
1.839999999999999969e-01,1.042499713015708540e+00,8.246532305334437485e-01,1.025560739332662674e+00,1.023157660897752175e+00
1.849999999999999978e-01,1.003342629696449606e+00,8.349583981800277055e-01,1.031457662250371721e+00,1.015974614203608350e+00
1.859999999999999987e-01,9.847491932693794858e-01,8.510728141240123668e-01,1.033248561955614653e+00,1.009748774490891732e+00
1.869999999999999996e-01,9.963253663150960504e-01,8.685157673661858535e-01,1.030716590107256359e+00,1.013563350259445883e+00
1.880000000000000004e-01,9.904986768297335820e-01,8.489451587512755193e-01,1.014884047848991777e+00,1.029365749496821136e+00
1.890000000000000013e-01,9.505545042016817492e-01,8.589021793104618663e-01,9.966069901159402278e-01,1.024610792056882547e+00
1.900000000000000022e-01,1.045795616637723580e+00,8.620949724344607601e-01,9.992663725710613232e-01,1.021540665036615447e+00
1.910000000000000031e-01,1.030357367886572062e+00,8.772716506072660847e-01,9.973643821075449667e-01,1.028044449313327613e+00
1.920000000000000040e-01,1.003167261626378925e+00,8.695520814626083173e-01,9.859420419652433765e-01,1.025029417270939103e+00
1.930000000000000049e-01,9.821925368344391893e-01,8.719702385738506978e-01,9.985285528783305331e-01,1.021127098237954556e+00
1.940000000000000058e-01,1.005054699284565922e+00,8.349445951444495195e-01,1.003700976383248733e+00,1.020320981492904178e+00
1.950000000000000067e-01,1.052182960461310657e+00,8.794272867826056217e-01,9.964795998272032440e-01,1.026574500543798285e+00
1.960000000000000075e-01,9.284419419093534742e-01,8.294822185958414806e-01,1.008960843457241019e+00,1.011233178744980199e+00
1.970000000000000084e-01,1.118191759458772694e+00,8.628069932418959143e-01,1.000349662655549032e+00,1.009426109265641358e+00
1.980000000000000093e-01,1.028063012214004868e+00,8.988296866175323752e-01,9.828865141669426153e-01,1.015880130499992928e+00
1.990000000000000102e-01,1.084865020792657120e+00,8.741174499520845131e-01,9.748750458594900303e-01,1.013924841848295344e+00
2.000000000000000111e-01,1.050336783366676574e+00,8.566582970194079882e-01,9.759871247786949811e-01,1.017575214700086716e+00
2.010000000000000120e-01,1.103971785766295621e+00,8.929662028918808891e-01,9.766244086348625508e-01,1.016920611774552841e+00
2.020000000000000129e-01,1.122439729851285151e+00,8.593102509818586476e-01,9.869796780408011116e-01,1.020937319396551413e+00
2.030000000000000138e-01,1.166092736888983072e+00,8.539473021629965244e-01,1.002190730004060892e+00,1.022125112492218824e+00
2.040000000000000147e-01,1.107554205186357610e+00,8.707678612081525271e-01,9.981913415383393273e-01,1.017828289384888008e+00
