t,alpha=-2,alpha=-10,alpha=-20,alpha=-50,alpha=-100
1.199999999999999956e-01,7.679126416117292298e-01,6.283944732210264283e-02,1.727775555919651429e-01,-7.476725583097451611e-02,-1.781635213972117271e-02
1.209999999999999964e-01,8.144758928814270771e-01,7.784741514037551990e-02,1.671971340048772903e-01,-4.332936489444559613e-02,2.102357941056598803e-02
1.219999999999999973e-01,7.824633860925153117e-01,1.095129550399097096e-01,2.199196344043830575e-01,-3.248343931269945251e-02,4.223168725869573537e-02
1.229999999999999982e-01,7.419390502784551922e-01,1.134516649040986924e-01,1.611717519269788013e-01,3.014574681091121075e-02,-6.777919701310058942e-03
1.239999999999999991e-01,8.027640192541095621e-01,1.246184220753496080e-01,2.039972552455141530e-01,3.804419946023167298e-02,3.512655641823994590e-02
1.250000000000000000e-01,8.009909467980264042e-01,1.186171935782405762e-01,1.959566761683320391e-01,2.049220274944582240e-02,1.732622065245239401e-03
1.260000000000000009e-01,8.079911853988261949e-01,9.341395486177840601e-02,2.395506907893877324e-01,-3.155204334424850654e-02,9.368798745427456970e-03
1.270000000000000018e-01,8.545628748505252892e-01,9.016788029617178735e-02,2.268542914555777279e-01,-8.629521272400082765e-03,3.555878931331873244e-02
1.280000000000000027e-01,8.660918610862565759e-01,2.294257797722694392e-02,1.432657497682136016e-01,-1.316997298765015464e-02,7.986021971995099777e-02
1.290000000000000036e-01,7.785230649883664311e-01,2.027247772861583142e-03,1.531838286881991029e-01,2.353560595746845285e-02,8.212491572016537844e-02
1.300000000000000044e-01,7.648003993372664011e-01,1.031220757660236513e-02,1.883526843541141194e-01,3.877564136304822995e-02,1.153973224785304064e-01
1.310000000000000053e-01,7.858755532264476429e-01,-4.983207499038486143e-02,1.695049472376835564e-01,4.141359476653389687e-02,4.837632124240761472e-02
1.320000000000000062e-01,7.670255652333469731e-01,-3.021129348297587475e-02,1.557875191913430657e-01,4.971471341578398428e-02,3.902283243433397192e-02
1.330000000000000071e-01,7.374853809565686813e-01,-1.649009927088232463e-03,1.006188921556982335e-01,2.813502574732206635e-02,3.053194093697047737e-02
1.340000000000000080e-01,7.039615137629005037e-01,-7.733048320167832529e-03,1.350772742912002000e-01,2.762205663409651041e-02,7.750296174808066207e-02
1.350000000000000089e-01,6.963569611993173369e-01,-1.583668466702762428e-02,1.608233877119108202e-01,4.066991313212611758e-02,1.397298798271607440e-02
1.360000000000000098e-01,6.607708974710603256e-01,-3.031521874532740884e-02,1.371941878813847937e-01,3.414906931842433269e-02,-3.902458920600104103e-03
1.370000000000000107e-01,6.905741787951740207e-01,-2.408714835758147058e-02,1.079614597836198731e-01,4.809026889506126667e-02,3.588591283474709681e-02
1.380000000000000115e-01,6.779441022773047276e-01,-7.549087623989257645e-02,1.162155357872308031e-01,6.965568074238050189e-02,1.599118467212359146e-03
1.390000000000000124e-01,6.453022933908103553e-01,-6.938120294291161283e-02,4.716323067052267948e-02,3.244149263549780948e-02,3.603113704053501065e-02
1.400000000000000133e-01,7.009349589377513734e-01,-8.453969132821981258e-02,3.967898203351725300e-02,6.355294460475027080e-03,4.873502990856738715e-02
1.410000000000000142e-01,7.176521392811040512e-01,-1.027440620358453099e-01,4.369456495378441774e-02,7.362385637188023635e-02,5.328403646014445022e-02
1.420000000000000151e-01,6.735191503133294288e-01,-1.860806390367254204e-01,3.277406026136107930e-02,5.565463672130185196e-02,3.577554854695449982e-02
1.430000000000000160e-01,6.412222495416359802e-01,-1.659567514384482356e-01,5.367409853924985652e-02,3.454987006385649984e-02,6.184589113697624985e-02
1.440000000000000169e-01,5.823168394092470557e-01,-1.757315521194101893e-01,9.950886545197018540e-03,-1.422199745208509863e-02,-5.379234143393696321e-03
